account_id,plan_tier,user_segment,platform,acquisition_channel,accounts_linked,goals_set,account_age_days,monthly_revenue,churned_90d,upgraded_90d
fw_acc_00000,pro,anxious_tracker,ios,organic,1,0,118,9.99,False,False
fw_acc_00001,free,budget_focused,ios,organic,1,0,531,0.0,False,False
fw_acc_00002,pro,budget_focused,ios,organic,1,0,20,9.99,True,False
fw_acc_00003,free,anxious_tracker,ios,referral,1,1,118,0.0,False,False
fw_acc_00004,free,anxious_tracker,ios,organic,1,2,401,0.0,False,False
fw_acc_00005,pro,savings_motivated,android,organic,1,0,247,9.99,False,False
fw_acc_00006,pro,new_to_tracking,ios,paid_social,3,0,387,9.99,True,False
fw_acc_00007,free,new_to_tracking,android,referral,1,0,189,0.0,True,False
fw_acc_00008,free,new_to_tracking,android,organic,1,0,346,0.0,False,False
fw_acc_00009,free,budget_focused,ios,organic,1,0,594,0.0,True,False
fw_acc_00010,free,new_to_tracking,ios,organic,1,0,266,0.0,False,False
fw_acc_00011,free,savings_motivated,ios,other,1,0,155,0.0,True,False
fw_acc_00012,free,savings_motivated,android,paid_social,1,0,79,0.0,False,False
fw_acc_00013,free,savings_motivated,android,referral,1,0,131,0.0,False,False
fw_acc_00014,pro,anxious_tracker,ios,paid_social,1,0,283,9.99,False,False
fw_acc_00015,free,mint_refugee,android,mint_refugee,1,0,533,0.0,True,False
fw_acc_00016,pro,budget_focused,ios,organic,1,2,33,9.99,False,False
fw_acc_00017,pro,budget_focused,ios,other,1,2,94,9.99,False,False
fw_acc_00018,pro,budget_focused,ios,referral,4,0,576,9.99,False,False
fw_acc_00019,free,anxious_tracker,ios,referral,1,0,219,0.0,True,False
fw_acc_00020,free,new_to_tracking,ios,organic,4,0,79,0.0,False,False
fw_acc_00021,free,savings_motivated,ios,organic,1,0,46,0.0,True,False
fw_acc_00022,pro,anxious_tracker,ios,other,1,0,598,9.99,True,False
fw_acc_00023,free,budget_focused,ios,referral,1,0,376,0.0,False,False
fw_acc_00024,pro,new_to_tracking,ios,paid_social,1,0,361,9.99,True,False
fw_acc_00025,free,budget_focused,ios,organic,2,0,487,0.0,False,False
fw_acc_00026,free,mint_refugee,android,mint_refugee,1,0,109,0.0,False,False
fw_acc_00027,free,budget_focused,ios,paid_social,3,0,413,0.0,False,False
fw_acc_00028,pro,mint_refugee,android,paid_social,2,0,208,9.99,False,False
fw_acc_00029,free,mint_refugee,ios,referral,1,0,528,0.0,False,False
fw_acc_00030,pro,anxious_tracker,ios,other,1,3,427,9.99,False,False
fw_acc_00031,free,savings_motivated,ios,referral,3,0,549,0.0,True,False
fw_acc_00032,free,budget_focused,android,organic,1,0,337,0.0,False,True
fw_acc_00033,pro,savings_motivated,ios,paid_social,3,0,532,9.99,False,False
fw_acc_00034,pro,mint_refugee,ios,mint_refugee,1,0,323,9.99,False,False
fw_acc_00035,pro,anxious_tracker,android,organic,1,1,693,9.99,False,False
fw_acc_00036,pro,mint_refugee,ios,organic,1,0,229,9.99,True,False
fw_acc_00037,pro,anxious_tracker,ios,other,1,2,66,9.99,False,False
fw_acc_00038,free,budget_focused,ios,other,1,0,179,0.0,False,False
fw_acc_00039,free,anxious_tracker,android,other,4,3,572,0.0,False,False
fw_acc_00040,free,budget_focused,android,other,1,0,54,0.0,True,False
fw_acc_00041,free,mint_refugee,android,paid_social,1,0,649,0.0,False,False
fw_acc_00042,pro,anxious_tracker,ios,organic,1,0,354,9.99,True,False
fw_acc_00043,pro,mint_refugee,ios,organic,1,0,124,9.99,True,False
fw_acc_00044,free,anxious_tracker,android,paid_social,4,0,247,0.0,True,False
fw_acc_00045,pro,new_to_tracking,ios,referral,1,0,423,9.99,False,False
fw_acc_00046,free,anxious_tracker,android,organic,1,0,608,0.0,True,False
fw_acc_00047,free,savings_motivated,ios,referral,1,3,537,0.0,False,True
fw_acc_00048,free,budget_focused,android,referral,3,0,700,0.0,True,False
fw_acc_00049,free,budget_focused,android,referral,1,0,321,0.0,False,False
fw_acc_00050,pro,savings_motivated,ios,referral,1,0,402,9.99,False,False
fw_acc_00051,free,budget_focused,ios,organic,4,0,307,0.0,False,False
fw_acc_00052,free,mint_refugee,ios,mint_refugee,1,0,187,0.0,True,False
fw_acc_00053,free,new_to_tracking,ios,organic,2,0,217,0.0,False,False
fw_acc_00054,pro,anxious_tracker,ios,referral,1,0,213,9.99,True,False
fw_acc_00055,free,anxious_tracker,android,other,1,0,123,0.0,True,False
fw_acc_00056,pro,budget_focused,ios,other,1,0,138,9.99,False,False
fw_acc_00057,pro,new_to_tracking,android,other,1,0,467,9.99,False,False
fw_acc_00058,free,new_to_tracking,ios,other,1,0,500,0.0,False,False
fw_acc_00059,free,mint_refugee,ios,organic,1,2,464,0.0,False,True
fw_acc_00060,pro,anxious_tracker,ios,paid_social,1,0,170,9.99,True,False
fw_acc_00061,free,budget_focused,ios,organic,1,0,444,0.0,False,False
fw_acc_00062,free,new_to_tracking,ios,paid_social,3,0,374,0.0,False,False
fw_acc_00063,free,mint_refugee,ios,referral,1,0,239,0.0,True,False
fw_acc_00064,pro,mint_refugee,android,mint_refugee,1,0,144,9.99,False,False
fw_acc_00065,pro,savings_motivated,android,organic,3,0,452,9.99,True,False
fw_acc_00066,free,budget_focused,ios,organic,3,0,402,0.0,False,False
fw_acc_00067,free,budget_focused,android,paid_social,1,3,679,0.0,True,True
fw_acc_00068,free,new_to_tracking,android,organic,1,0,498,0.0,False,False
fw_acc_00069,pro,mint_refugee,ios,referral,1,0,131,9.99,True,False
fw_acc_00070,free,savings_motivated,android,paid_social,1,0,398,0.0,False,False
fw_acc_00071,pro,savings_motivated,ios,referral,1,0,714,9.99,True,False
fw_acc_00072,pro,mint_refugee,ios,paid_social,1,3,393,9.99,False,False
fw_acc_00073,pro,new_to_tracking,ios,other,1,0,664,9.99,False,False
fw_acc_00074,free,anxious_tracker,ios,referral,1,0,644,0.0,False,False
fw_acc_00075,free,mint_refugee,ios,mint_refugee,3,0,102,0.0,False,False
fw_acc_00076,free,anxious_tracker,android,organic,3,0,231,0.0,False,False
fw_acc_00077,pro,anxious_tracker,ios,other,3,0,101,9.99,False,False
fw_acc_00078,pro,savings_motivated,android,paid_social,1,1,31,9.99,False,False
fw_acc_00079,free,savings_motivated,ios,paid_social,1,0,366,0.0,False,False
fw_acc_00080,pro,anxious_tracker,ios,organic,4,0,211,9.99,False,False
fw_acc_00081,pro,anxious_tracker,ios,paid_social,1,0,617,9.99,False,False
fw_acc_00082,free,anxious_tracker,ios,organic,4,0,197,0.0,False,False
fw_acc_00083,pro,savings_motivated,android,organic,1,1,516,9.99,False,False
fw_acc_00084,free,budget_focused,ios,organic,1,1,503,0.0,False,True
fw_acc_00085,pro,anxious_tracker,ios,paid_social,1,1,325,9.99,True,False
fw_acc_00086,pro,savings_motivated,android,organic,1,0,549,9.99,False,False
fw_acc_00087,free,savings_motivated,ios,paid_social,1,0,75,0.0,False,False
fw_acc_00088,free,anxious_tracker,android,organic,1,0,191,0.0,True,False
fw_acc_00089,pro,budget_focused,ios,organic,1,0,303,9.99,False,False
fw_acc_00090,pro,new_to_tracking,android,referral,1,0,691,9.99,True,False
fw_acc_00091,free,anxious_tracker,ios,organic,1,1,159,0.0,False,False
fw_acc_00092,pro,new_to_tracking,ios,paid_social,1,0,325,9.99,False,False
fw_acc_00093,free,budget_focused,ios,organic,1,0,456,0.0,False,False
fw_acc_00094,free,savings_motivated,android,referral,1,0,35,0.0,False,False
fw_acc_00095,free,mint_refugee,ios,referral,4,0,298,0.0,False,False
fw_acc_00096,free,budget_focused,ios,organic,4,0,178,0.0,False,False
fw_acc_00097,free,mint_refugee,ios,organic,3,0,272,0.0,False,True
fw_acc_00098,pro,budget_focused,ios,paid_social,1,0,651,9.99,False,False
fw_acc_00099,pro,anxious_tracker,ios,other,1,0,462,9.99,False,False
fw_acc_00100,free,savings_motivated,android,referral,1,0,332,0.0,False,False
fw_acc_00101,pro,new_to_tracking,ios,organic,1,0,171,9.99,False,False
fw_acc_00102,free,anxious_tracker,android,other,1,0,263,0.0,True,False
fw_acc_00103,free,mint_refugee,ios,organic,4,0,438,0.0,False,True
fw_acc_00104,pro,new_to_tracking,ios,referral,1,0,166,9.99,False,False
fw_acc_00105,free,mint_refugee,ios,other,1,0,207,0.0,True,False
fw_acc_00106,free,budget_focused,ios,other,1,0,404,0.0,False,False
fw_acc_00107,pro,budget_focused,ios,paid_social,2,0,618,9.99,False,False
fw_acc_00108,free,budget_focused,ios,referral,1,0,433,0.0,False,False
fw_acc_00109,pro,anxious_tracker,android,paid_social,1,0,96,9.99,False,False
fw_acc_00110,pro,budget_focused,ios,referral,1,0,513,9.99,True,False
fw_acc_00111,free,savings_motivated,android,other,1,0,106,0.0,True,False
fw_acc_00112,pro,budget_focused,android,other,2,0,61,9.99,False,False
fw_acc_00113,free,anxious_tracker,ios,paid_social,2,0,198,0.0,False,False
fw_acc_00114,pro,budget_focused,android,organic,3,0,667,9.99,False,False
