event_id,user_id,account_id,feature_name,event_type,timestamp
fw_evt_00000000,fw_usr_0000000,fw_acc_00000,analysis_view,abandoned,2025-11-03 14:14:00
fw_evt_00000001,fw_usr_0000000,fw_acc_00000,category_edit,used,2026-01-04 09:31:00
fw_evt_00000002,fw_usr_0000000,fw_acc_00000,notification_settings,used,2025-11-21 20:57:00
fw_evt_00000003,fw_usr_0000000,fw_acc_00000,analysis_view,used,2025-12-23 16:52:00
fw_evt_00000004,fw_usr_0000000,fw_acc_00000,analysis_view,abandoned,2026-02-15 08:21:00
fw_evt_00000005,fw_usr_0000000,fw_acc_00000,budget_setup,used,2026-02-18 10:22:00
fw_evt_00000006,fw_usr_0000000,fw_acc_00000,budget_setup,used,2026-01-06 08:41:00
fw_evt_00000007,fw_usr_0000000,fw_acc_00000,category_edit,used,2026-01-05 18:49:00
fw_evt_00000008,fw_usr_0000000,fw_acc_00000,transaction_view,used,2025-12-01 08:45:00
fw_evt_00000009,fw_usr_0000000,fw_acc_00000,transaction_view,used,2026-01-26 13:48:00
fw_evt_00000010,fw_usr_0000000,fw_acc_00000,transaction_view,used,2025-11-06 11:24:00
fw_evt_00000011,fw_usr_0000000,fw_acc_00000,category_edit,used,2025-12-05 13:06:00
fw_evt_00000012,fw_usr_0000000,fw_acc_00000,analysis_view,used,2026-01-29 11:45:00
fw_evt_00000013,fw_usr_0000000,fw_acc_00000,bill_tracking,used,2026-02-25 11:11:00
fw_evt_00000014,fw_usr_0000001,fw_acc_00001,transaction_view,used,2024-11-23 10:54:00
fw_evt_00000015,fw_usr_0000001,fw_acc_00001,budget_setup,blocked,2025-06-18 08:58:00
fw_evt_00000016,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-01-31 18:09:00
fw_evt_00000017,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-06-16 13:47:00
fw_evt_00000018,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-06-21 10:32:00
fw_evt_00000019,fw_usr_0000001,fw_acc_00001,analysis_view,abandoned,2025-06-05 11:54:00
fw_evt_00000020,fw_usr_0000001,fw_acc_00001,notification_settings,used,2025-10-28 13:28:00
fw_evt_00000021,fw_usr_0000001,fw_acc_00001,bill_tracking,blocked,2026-01-01 14:34:00
fw_evt_00000022,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2025-09-14 12:35:00
fw_evt_00000023,fw_usr_0000001,fw_acc_00001,notification_settings,used,2024-09-21 20:22:00
fw_evt_00000024,fw_usr_0000001,fw_acc_00001,analysis_view,abandoned,2025-01-10 07:08:00
fw_evt_00000025,fw_usr_0000001,fw_acc_00001,bill_tracking,blocked,2025-07-09 21:10:00
fw_evt_00000026,fw_usr_0000001,fw_acc_00001,notification_settings,used,2025-03-04 14:33:00
fw_evt_00000027,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2025-12-20 21:27:00
fw_evt_00000028,fw_usr_0000001,fw_acc_00001,notification_settings,used,2025-05-13 08:25:00
fw_evt_00000029,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2024-11-22 13:09:00
fw_evt_00000030,fw_usr_0000001,fw_acc_00001,notification_settings,used,2025-08-18 09:55:00
fw_evt_00000031,fw_usr_0000001,fw_acc_00001,category_edit,used,2024-09-21 10:23:00
fw_evt_00000032,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2025-04-26 09:24:00
fw_evt_00000033,fw_usr_0000001,fw_acc_00001,manual_transaction,used,2025-04-02 21:34:00
fw_evt_00000034,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-09-17 07:30:00
fw_evt_00000035,fw_usr_0000001,fw_acc_00001,budget_setup,blocked,2024-11-08 07:33:00
fw_evt_00000036,fw_usr_0000001,fw_acc_00001,budget_setup,blocked,2025-06-06 09:20:00
fw_evt_00000037,fw_usr_0000001,fw_acc_00001,analysis_view,used,2024-12-21 20:57:00
fw_evt_00000038,fw_usr_0000001,fw_acc_00001,budget_setup,blocked,2024-12-26 07:10:00
fw_evt_00000039,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-03-02 18:05:00
fw_evt_00000040,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2026-02-28 12:50:00
fw_evt_00000041,fw_usr_0000001,fw_acc_00001,manual_transaction,used,2026-01-16 10:35:00
fw_evt_00000042,fw_usr_0000001,fw_acc_00001,category_edit,used,2025-06-10 20:29:00
fw_evt_00000043,fw_usr_0000001,fw_acc_00001,savings_goal,blocked,2025-03-19 22:59:00
fw_evt_00000044,fw_usr_0000001,fw_acc_00001,transaction_view,used,2025-12-20 11:57:00
fw_evt_00000045,fw_usr_0000001,fw_acc_00001,analysis_view,abandoned,2026-01-02 17:59:00
fw_evt_00000046,fw_usr_0000002,fw_acc_00002,bill_tracking,used,2026-02-22 09:20:00
fw_evt_00000047,fw_usr_0000002,fw_acc_00002,category_edit,used,2026-02-22 14:40:00
fw_evt_00000048,fw_usr_0000002,fw_acc_00002,analysis_view,abandoned,2026-02-12 13:46:00
fw_evt_00000049,fw_usr_0000002,fw_acc_00002,transaction_view,used,2026-02-20 21:18:00
fw_evt_00000050,fw_usr_0000002,fw_acc_00002,budget_setup,used,2026-02-19 13:51:00
fw_evt_00000051,fw_usr_0000002,fw_acc_00002,manual_transaction,used,2026-02-20 12:45:00
fw_evt_00000052,fw_usr_0000002,fw_acc_00002,transaction_view,used,2026-02-19 14:36:00
fw_evt_00000053,fw_usr_0000002,fw_acc_00002,transaction_view,used,2026-02-10 15:42:00
fw_evt_00000054,fw_usr_0000002,fw_acc_00002,analysis_view,abandoned,2026-02-22 07:36:00
fw_evt_00000055,fw_usr_0000002,fw_acc_00002,transaction_view,used,2026-02-22 13:03:00
fw_evt_00000056,fw_usr_0000002,fw_acc_00002,transaction_view,used,2026-02-22 21:23:00
fw_evt_00000057,fw_usr_0000003,fw_acc_00003,transaction_view,used,2025-12-18 09:08:00
fw_evt_00000058,fw_usr_0000003,fw_acc_00003,transaction_view,used,2025-11-24 19:52:00
fw_evt_00000059,fw_usr_0000003,fw_acc_00003,budget_setup,blocked,2026-01-11 11:50:00
