account_id,month,active_days,sessions,goals_active,transactions_categorised,transactions_uncategorised,notifications_sent,notifications_opened,support_tickets,support_ticket_category
fw_acc_00000,2025-12-01,7,4,0,26,6,5,1,0,none
fw_acc_00000,2025-12-01,3,2,0,53,19,2,0,0,none
fw_acc_00000,2026-01-01,0,0,0,19,8,0,0,0,none
fw_acc_00001,2025-03-01,7,4,0,44,17,5,1,0,none
fw_acc_00001,2025-04-01,6,4,0,35,10,5,1,0,none
fw_acc_00001,2025-05-01,3,2,0,27,8,2,0,0,none
fw_acc_00001,2025-06-01,1,1,0,36,12,1,0,0,none
fw_acc_00001,2025-07-01,0,0,0,29,6,0,0,0,none
fw_acc_00001,2025-08-01,0,0,0,46,11,0,0,0,none
fw_acc_00001,2025-09-01,0,0,0,36,9,0,0,0,none
fw_acc_00001,2025-10-01,0,0,0,33,8,0,0,0,none
fw_acc_00001,2025-11-01,0,0,0,33,11,0,0,0,none
fw_acc_00001,2025-12-01,0,0,0,26,8,0,0,0,none
fw_acc_00001,2025-12-01,0,0,0,32,14,0,0,0,none
fw_acc_00001,2026-01-01,0,0,0,14,5,0,0,0,none
fw_acc_00002,2026-01-01,7,3,0,24,9,4,0,0,none
fw_acc_00003,2025-12-01,12,7,1,34,3,9,3,0,none
fw_acc_00003,2025-12-01,15,9,1,31,4,12,4,0,none
fw_acc_00003,2026-01-01,17,11,1,71,10,15,5,0,none
fw_acc_00004,2025-03-01,15,7,2,57,5,9,3,0,none
fw_acc_00004,2025-04-01,6,8,2,60,8,11,4,0,none
fw_acc_00004,2025-05-01,7,6,2,32,2,8,2,0,none
fw_acc_00004,2025-06-01,15,7,2,30,1,9,3,0,none
fw_acc_00004,2025-07-01,6,3,2,35,3,4,1,0,none
fw_acc_00004,2025-08-01,8,4,2,26,3,5,1,0,none
fw_acc_00004,2025-09-01,6,3,2,29,4,4,1,0,none
fw_acc_00004,2025-10-01,11,5,2,49,5,7,1,0,none
fw_acc_00004,2025-11-01,4,2,2,52,7,2,0,0,none
fw_acc_00004,2025-12-01,6,3,2,45,2,4,0,0,none
fw_acc_00004,2025-12-01,9,4,2,32,3,5,0,0,none
fw_acc_00004,2026-01-01,9,4,2,50,5,5,0,0,none
fw_acc_00005,2025-07-01,6,3,0,32,7,4,1,0,none
fw_acc_00005,2025-08-01,5,3,0,34,15,4,1,0,none
fw_acc_00005,2025-09-01,1,1,0,29,13,1,0,0,none
fw_acc_00005,2025-10-01,0,0,0,54,19,0,0,0,none
fw_acc_00005,2025-11-01,0,0,0,31,8,0,0,0,none
fw_acc_00005,2025-12-01,0,0,0,26,9,0,0,0,none
fw_acc_00005,2025-12-01,0,0,0,39,16,0,0,0,none
fw_acc_00005,2026-01-01,0,0,0,29,13,0,0,0,none
fw_acc_00006,2025-03-01,20,9,0,16,1,12,4,0,none
fw_acc_00006,2025-04-01,22,10,0,45,5,14,5,0,none
fw_acc_00006,2025-05-01,1,1,0,40,2,1,0,0,none
fw_acc_00006,2025-06-01,1,1,0,32,1,1,0,0,none
fw_acc_00006,2025-07-01,0,0,0,43,5,0,0,0,none
fw_acc_00006,2025-08-01,0,0,0,55,5,0,0,0,none
fw_acc_00006,2025-09-01,0,0,0,36,5,0,0,0,none
fw_acc_00006,2025-10-01,1,1,0,48,2,1,0,0,none
fw_acc_00006,2025-11-01,0,0,0,27,2,0,0,0,none
fw_acc_00006,2025-12-01,2,1,0,42,2,1,0,0,none
fw_acc_00006,2025-12-01,0,0,0,49,2,0,0,0,none
fw_acc_00006,2026-01-01,0,0,0,23,3,0,0,0,none
fw_acc_00007,2025-09-01,2,1,0,46,18,1,0,1,account_sync
fw_acc_00007,2025-10-01,4,2,0,18,5,2,0,0,none
fw_acc_00007,2025-11-01,0,0,0,17,3,0,0,0,none
fw_acc_00007,2025-12-01,0,0,0,28,11,0,0,0,none
fw_acc_00007,2025-12-01,0,0,0,46,9,0,0,0,none
fw_acc_00007,2026-01-01,0,0,0,30,13,0,0,0,none
fw_acc_00008,2025-04-01,7,4,0,21,10,5,1,0,none
fw_acc_00008,2025-05-01,5,3,0,30,13,4,1,0,none
fw_acc_00008,2025-06-01,1,1,0,22,5,1,0,0,none
fw_acc_00008,2025-07-01,1,1,0,62,15,1,0,0,none
fw_acc_00008,2025-08-01,0,0,0,40,11,0,0,0,none
