account_id,step_name,completed,completed_at
fw_acc_00000,link_first_account,True,2025-11-07
fw_acc_00000,complete_profile_setup,True,2025-11-10
fw_acc_00000,view_first_spending_summary,False,
fw_acc_00000,link_second_account,False,
fw_acc_00000,set_first_goal,False,
fw_acc_00000,customise_first_category,False,
fw_acc_00001,link_first_account,True,2024-09-21
fw_acc_00001,complete_profile_setup,True,2024-09-25
fw_acc_00001,view_first_spending_summary,True,2024-09-30
fw_acc_00001,link_second_account,False,
fw_acc_00001,set_first_goal,False,
fw_acc_00001,customise_first_category,False,
fw_acc_00002,link_first_account,True,2026-02-13
fw_acc_00002,complete_profile_setup,True,2026-02-13
fw_acc_00002,view_first_spending_summary,False,
fw_acc_00002,link_second_account,False,
fw_acc_00002,set_first_goal,False,
fw_acc_00002,customise_first_category,False,
fw_acc_00003,link_first_account,True,2025-11-03
fw_acc_00003,complete_profile_setup,False,
fw_acc_00003,view_first_spending_summary,True,2025-11-08
fw_acc_00003,link_second_account,False,
fw_acc_00003,set_first_goal,True,2025-11-09
fw_acc_00003,customise_first_category,False,
fw_acc_00004,link_first_account,False,
fw_acc_00004,complete_profile_setup,True,2025-01-25
fw_acc_00004,view_first_spending_summary,True,2025-01-25
fw_acc_00004,link_second_account,False,
fw_acc_00004,set_first_goal,True,2025-01-25
fw_acc_00004,customise_first_category,True,2025-01-27
fw_acc_00005,link_first_account,True,2025-06-27
fw_acc_00005,complete_profile_setup,True,2025-06-27
fw_acc_00005,view_first_spending_summary,False,
fw_acc_00005,link_second_account,False,
fw_acc_00005,set_first_goal,False,
fw_acc_00005,customise_first_category,True,2025-06-28
fw_acc_00006,link_first_account,True,2025-02-10
fw_acc_00006,complete_profile_setup,True,2025-02-12
fw_acc_00006,view_first_spending_summary,True,2025-02-13
fw_acc_00006,link_second_account,True,2025-02-16
fw_acc_00006,set_first_goal,False,
fw_acc_00006,customise_first_category,False,
fw_acc_00007,link_first_account,True,2025-08-27
fw_acc_00007,complete_profile_setup,True,2025-08-27
fw_acc_00007,view_first_spending_summary,False,
fw_acc_00007,link_second_account,False,
fw_acc_00007,set_first_goal,False,
fw_acc_00007,customise_first_category,False,
fw_acc_00008,link_first_account,True,2025-03-24
fw_acc_00008,complete_profile_setup,True,2025-03-25
fw_acc_00008,view_first_spending_summary,True,2025-03-27
fw_acc_00008,link_second_account,False,
fw_acc_00008,set_first_goal,False,
fw_acc_00008,customise_first_category,False,
fw_acc_00009,link_first_account,True,2024-07-18
fw_acc_00009,complete_profile_setup,True,2024-07-18
fw_acc_00009,view_first_spending_summary,True,2024-07-18
fw_acc_00009,link_second_account,False,
fw_acc_00009,set_first_goal,False,
fw_acc_00009,customise_first_category,True,2024-07-23
fw_acc_00010,link_first_account,True,2025-06-10
fw_acc_00010,complete_profile_setup,True,2025-06-13
fw_acc_00010,view_first_spending_summary,False,
fw_acc_00010,link_second_account,False,
fw_acc_00010,set_first_goal,False,
fw_acc_00010,customise_first_category,False,
fw_acc_00011,link_first_account,True,2025-10-01
fw_acc_00011,complete_profile_setup,True,2025-10-02
fw_acc_00011,view_first_spending_summary,False,
fw_acc_00011,link_second_account,False,
fw_acc_00011,set_first_goal,False,
fw_acc_00011,customise_first_category,False,
fw_acc_00012,link_first_account,True,2025-12-14
fw_acc_00012,complete_profile_setup,True,2025-12-16
fw_acc_00012,view_first_spending_summary,False,
fw_acc_00012,link_second_account,False,
